id,title,domain,path,status,minimum_words,dependencies
GOV-001,Enterprise Governance Constitution,GOV,00_GOVERNANCE/GOV-001_ENTERPRISE_GOVERNANCE_CONSTITUTION.md,pending,4500,
GOV-002,Founder Control Model,GOV,00_GOVERNANCE/GOV-002_FOUNDER_CONTROL_MODEL.md,pending,4500,GOV-001
GOV-003,Documentation Governance,GOV,00_GOVERNANCE/GOV-003_DOCUMENTATION_GOVERNANCE.md,pending,4500,GOV-002
GOV-004,Repository Governance,GOV,00_GOVERNANCE/GOV-004_REPOSITORY_GOVERNANCE.md,pending,4500,GOV-003
GOV-005,Quality Gate Framework,GOV,00_GOVERNANCE/GOV-005_QUALITY_GATE_FRAMEWORK.md,pending,4500,GOV-004
GOV-006,Security Governance,GOV,00_GOVERNANCE/GOV-006_SECURITY_GOVERNANCE.md,pending,4500,GOV-005
FND-001,Enterprise Atlas Constitution,FND,01_FOUNDATION/FND-001_ENTERPRISE_ATLAS_CONSTITUTION.md,pending,4500,GOV-001
FND-002,Master Map,FND,01_FOUNDATION/FND-002_MASTER_MAP.md,pending,4500,FND-001
FND-003,Navigation Guide,FND,01_FOUNDATION/FND-003_NAVIGATION_GUIDE.md,pending,4500,FND-002
FND-004,Legend and Notation,FND,01_FOUNDATION/FND-004_LEGEND_AND_NOTATION.md,pending,4500,FND-003
FND-005,Glossary,FND,01_FOUNDATION/FND-005_GLOSSARY.md,pending,4500,FND-004
FND-006,Naming Convention,FND,01_FOUNDATION/FND-006_NAMING_CONVENTION.md,pending,4500,FND-005
FND-007,Versioning Strategy,FND,01_FOUNDATION/FND-007_VERSIONING_STRATEGY.md,pending,4500,FND-006
FND-008,Documentation Template Standard,FND,01_FOUNDATION/FND-008_DOCUMENTATION_TEMPLATE_STANDARD.md,pending,4500,FND-007
BUS-001,Business Domain Map,BUS,02_BUSINESS_ARCHITECTURE/BUS-001_BUSINESS_DOMAIN_MAP.md,pending,6000,FND-001
BUS-002,Business Capability Map,BUS,02_BUSINESS_ARCHITECTURE/BUS-002_BUSINESS_CAPABILITY_MAP.md,pending,6000,BUS-001
BUS-003,Business Entity Map,BUS,02_BUSINESS_ARCHITECTURE/BUS-003_BUSINESS_ENTITY_MAP.md,pending,6000,BUS-002
BUS-004,Business Workflow Map,BUS,02_BUSINESS_ARCHITECTURE/BUS-004_BUSINESS_WORKFLOW_MAP.md,pending,6000,BUS-003
BUS-005,Business Rule Catalog,BUS,02_BUSINESS_ARCHITECTURE/BUS-005_BUSINESS_RULE_CATALOG.md,pending,6000,BUS-004
BUS-006,Operating Model,BUS,02_BUSINESS_ARCHITECTURE/BUS-006_OPERATING_MODEL.md,pending,6000,BUS-005
BUS-007,Commercial Model,BUS,02_BUSINESS_ARCHITECTURE/BUS-007_COMMERCIAL_MODEL.md,pending,6000,BUS-006
BUS-008,Partner Ecosystem Model,BUS,02_BUSINESS_ARCHITECTURE/BUS-008_PARTNER_ECOSYSTEM_MODEL.md,pending,6000,BUS-007
BRD-001,Brand Architecture,BRD,03_BRAND_ARCHITECTURE/BRD-001_BRAND_ARCHITECTURE.md,pending,4500,BUS-001
BRD-002,Damavand Steel Brand Model,BRD,03_BRAND_ARCHITECTURE/BRD-002_DAMAVAND_STEEL_BRAND_MODEL.md,pending,4500,BRD-001
BRD-003,Central Steel Guardrails,BRD,03_BRAND_ARCHITECTURE/BRD-003_CENTRAL_STEEL_GUARDRAILS.md,pending,4500,BRD-002
BRD-004,Brand Knowledge Model,BRD,03_BRAND_ARCHITECTURE/BRD-004_BRAND_KNOWLEDGE_MODEL.md,pending,4500,BRD-003
BRD-005,Visual Identity System,BRD,03_BRAND_ARCHITECTURE/BRD-005_VISUAL_IDENTITY_SYSTEM.md,pending,4500,BRD-004
BRD-006,Brand Content Rules,BRD,03_BRAND_ARCHITECTURE/BRD-006_BRAND_CONTENT_RULES.md,pending,4500,BRD-005
PRD-001,Product Repository Domain Architecture,PRD,04_PRODUCT_REPOSITORY/PRD-001_PRODUCT_REPOSITORY_DOMAIN_ARCHITECTURE.md,pending,6000,BRD-001
PRD-002,Product Hierarchy Model,PRD,04_PRODUCT_REPOSITORY/PRD-002_PRODUCT_HIERARCHY_MODEL.md,pending,6000,PRD-001
PRD-003,Product Family Model,PRD,04_PRODUCT_REPOSITORY/PRD-003_PRODUCT_FAMILY_MODEL.md,pending,6000,PRD-002
PRD-004,Product Series Model,PRD,04_PRODUCT_REPOSITORY/PRD-004_PRODUCT_SERIES_MODEL.md,pending,6000,PRD-003
PRD-005,Product Template Model,PRD,04_PRODUCT_REPOSITORY/PRD-005_PRODUCT_TEMPLATE_MODEL.md,pending,6000,PRD-004
PRD-006,Product Variant Model,PRD,04_PRODUCT_REPOSITORY/PRD-006_PRODUCT_VARIANT_MODEL.md,pending,6000,PRD-005
PRD-007,SKU Model,PRD,04_PRODUCT_REPOSITORY/PRD-007_SKU_MODEL.md,pending,6000,PRD-006
PRD-008,Attribute System,PRD,04_PRODUCT_REPOSITORY/PRD-008_ATTRIBUTE_SYSTEM.md,pending,6000,PRD-007
PRD-009,Material and Alloy Model,PRD,04_PRODUCT_REPOSITORY/PRD-009_MATERIAL_AND_ALLOY_MODEL.md,pending,6000,PRD-008
PRD-010,Finish and Color Model,PRD,04_PRODUCT_REPOSITORY/PRD-010_FINISH_AND_COLOR_MODEL.md,pending,6000,PRD-009
PRD-011,Dimension and Unit Model,PRD,04_PRODUCT_REPOSITORY/PRD-011_DIMENSION_AND_UNIT_MODEL.md,pending,6000,PRD-010
PRD-012,Brand and Origin Model,PRD,04_PRODUCT_REPOSITORY/PRD-012_BRAND_AND_ORIGIN_MODEL.md,pending,6000,PRD-011
PRD-013,Product Relationship Model,PRD,04_PRODUCT_REPOSITORY/PRD-013_PRODUCT_RELATIONSHIP_MODEL.md,pending,6000,PRD-012
PRD-014,Assembly Product Model,PRD,04_PRODUCT_REPOSITORY/PRD-014_ASSEMBLY_PRODUCT_MODEL.md,pending,6000,PRD-013
PRD-015,Product Lifecycle,PRD,04_PRODUCT_REPOSITORY/PRD-015_PRODUCT_LIFECYCLE.md,pending,6000,PRD-014
PRD-016,Product Validation Rules,PRD,04_PRODUCT_REPOSITORY/PRD-016_PRODUCT_VALIDATION_RULES.md,pending,6000,PRD-015
PRD-017,Product Search Intelligence,PRD,04_PRODUCT_REPOSITORY/PRD-017_PRODUCT_SEARCH_INTELLIGENCE.md,pending,6000,PRD-016
PRD-018,WordPress Product Mapping,PRD,04_PRODUCT_REPOSITORY/PRD-018_WORDPRESS_PRODUCT_MAPPING.md,pending,6000,PRD-017
KNO-001,Knowledge Repository Architecture,KNO,05_KNOWLEDGE_REPOSITORY/KNO-001_KNOWLEDGE_REPOSITORY_ARCHITECTURE.md,pending,6000,PRD-001
KNO-002,Knowledge Card Model,KNO,05_KNOWLEDGE_REPOSITORY/KNO-002_KNOWLEDGE_CARD_MODEL.md,pending,6000,KNO-001
KNO-003,Material Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-003_MATERIAL_KNOWLEDGE.md,pending,6000,KNO-002
KNO-004,Product Family Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-004_PRODUCT_FAMILY_KNOWLEDGE.md,pending,6000,KNO-003
KNO-005,Installation Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-005_INSTALLATION_KNOWLEDGE.md,pending,6000,KNO-004
KNO-006,Buying Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-006_BUYING_KNOWLEDGE.md,pending,6000,KNO-005
KNO-007,Engineering Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-007_ENGINEERING_KNOWLEDGE.md,pending,6000,KNO-006
KNO-008,Maintenance Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-008_MAINTENANCE_KNOWLEDGE.md,pending,6000,KNO-007
KNO-009,FAQ Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-009_FAQ_KNOWLEDGE.md,pending,6000,KNO-008
KNO-010,Market Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-010_MARKET_KNOWLEDGE.md,pending,6000,KNO-009
KNO-011,Knowledge Provenance,KNO,05_KNOWLEDGE_REPOSITORY/KNO-011_KNOWLEDGE_PROVENANCE.md,pending,6000,KNO-010
KNO-012,Knowledge Retrieval Model,KNO,05_KNOWLEDGE_REPOSITORY/KNO-012_KNOWLEDGE_RETRIEVAL_MODEL.md,pending,6000,KNO-011
PRI-001,Pricing Engine Architecture,PRI,06_PRICING_ENGINE/PRI-001_PRICING_ENGINE_ARCHITECTURE.md,pending,4500,KNO-001
PRI-002,Base Price Model,PRI,06_PRICING_ENGINE/PRI-002_BASE_PRICE_MODEL.md,pending,4500,PRI-001
PRI-003,Product Price Formula,PRI,06_PRICING_ENGINE/PRI-003_PRODUCT_PRICE_FORMULA.md,pending,4500,PRI-002
PRI-004,FX and Currency Model,PRI,06_PRICING_ENGINE/PRI-004_FX_AND_CURRENCY_MODEL.md,pending,4500,PRI-003
PRI-005,Rounding Rules,PRI,06_PRICING_ENGINE/PRI-005_ROUNDING_RULES.md,pending,4500,PRI-004
PRI-006,Margin and Commission Model,PRI,06_PRICING_ENGINE/PRI-006_MARGIN_AND_COMMISSION_MODEL.md,pending,4500,PRI-005
