path,git_state_at_2026_07_14_snapshot,classification,reason,risk_level,founder_review_required
.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
.editorconfig,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
.env.example,TRACKED_UNCHANGED_SECURITY_REVIEW,TRACK_CONFIGURATION_TEMPLATE,Tracked environment example; sensitive keys contain placeholders and no real secret value was detected.,LOW,false
.gitattributes,MODIFIED_TRACKED,TRACK_CONFIGURATION_TEMPLATE,Repository-wide Git hygiene and normalization metadata.,LOW,false
.github/.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
.github/ISSUE_TEMPLATE/bug_report.yml,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
.github/pull_request_template.md,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
.github/workflows/ci.yml,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
.gitignore,MODIFIED_TRACKED,TRACK_CONFIGURATION_TEMPLATE,Repository-wide Git hygiene and normalization metadata.,LOW,false
AGENTS.md,UNTRACKED,TRACK_CANONICAL,Canonical Codex repository instruction file.,LOW,false
CODEOWNERS,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
CONTRIBUTING.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
Makefile,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
README.md,MODIFIED_TRACKED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
SECURITY.md,TRACKED_UNCHANGED,TRACK_DOCUMENTATION,"Project, governance, audit, quality, prompt, or contributor documentation.",LOW,false
assets/.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
assets/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/brand/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/documents/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/fonts/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/images/optimized/.gitkeep,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
assets/images/source/README.md,TRACKED_UNCHANGED,TRACK_IMPLEMENTATION_ASSET,"Repository implementation, test, public-boundary, asset, script, or placeholder artifact retained for controlled review.",LOW,false
composer.json,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/.DS_Store,IGNORED,IGNORE_LOCAL,Local generated or operating-system metadata; remain excluded from Git.,LOW,false
config/README.md,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/environments/development.env.example,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/environments/production.env.example,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/environments/staging.env.example,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/nginx/site.conf.template,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/php/php.ini.template,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
config/wordpress/wp-config.example.php,TRACKED_UNCHANGED,TRACK_CONFIGURATION_TEMPLATE,"Repository configuration, automation, environment, or infrastructure template.",LOW,false
