atlas_id,title,domain,atlas_path,registry_status,disposition,canonical_owner,decision_status,rationale
GOV-001,Enterprise Governance Constitution,GOV,00_GOVERNANCE/GOV-001_ENTERPRISE_GOVERNANCE_CONSTITUTION.md,pending,MAP_TO_EXISTING,docs/01_PROJECT_CONSTITUTION.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
GOV-002,Founder Control Model,GOV,00_GOVERNANCE/GOV-002_FOUNDER_CONTROL_MODEL.md,pending,MAP_TO_EXISTING,docs/17_FOUNDER_DECISION_LOG.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
GOV-003,Documentation Governance,GOV,00_GOVERNANCE/GOV-003_DOCUMENTATION_GOVERNANCE.md,pending,MAP_TO_EXISTING,docs/12_DOCUMENT_LIFECYCLE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
GOV-004,Repository Governance,GOV,00_GOVERNANCE/GOV-004_REPOSITORY_GOVERNANCE.md,pending,MAP_TO_EXISTING,docs/GIT_GOVERNANCE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
GOV-005,Quality Gate Framework,GOV,00_GOVERNANCE/GOV-005_QUALITY_GATE_FRAMEWORK.md,pending,MAP_TO_EXISTING,docs/16_QUALITY_STANDARD.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
GOV-006,Security Governance,GOV,00_GOVERNANCE/GOV-006_SECURITY_GOVERNANCE.md,pending,MAP_TO_EXISTING,docs/10_SECURITY.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
FND-001,Enterprise Atlas Constitution,FND,01_FOUNDATION/FND-001_ENTERPRISE_ATLAS_CONSTITUTION.md,pending,MERGE,docs/KNOWLEDGE_ARCHIVE_STANDARD.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
FND-002,Master Map,FND,01_FOUNDATION/FND-002_MASTER_MAP.md,pending,MAP_TO_EXISTING,docs/KNOWLEDGE_GRAPH.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
FND-003,Navigation Guide,FND,01_FOUNDATION/FND-003_NAVIGATION_GUIDE.md,pending,MAP_TO_EXISTING,docs/READING_ORDER.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
FND-004,Legend and Notation,FND,01_FOUNDATION/FND-004_LEGEND_AND_NOTATION.md,pending,MAP_TO_EXISTING,docs/11_GLOSSARY.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
FND-005,Glossary,FND,01_FOUNDATION/FND-005_GLOSSARY.md,pending,MAP_TO_EXISTING,docs/11_GLOSSARY.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
FND-006,Naming Convention,FND,01_FOUNDATION/FND-006_NAMING_CONVENTION.md,pending,MAP_TO_EXISTING,docs/REPOSITORY_METADATA.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
FND-007,Versioning Strategy,FND,01_FOUNDATION/FND-007_VERSIONING_STRATEGY.md,pending,MAP_TO_EXISTING,repository/platform/PLATFORM_VERSIONING.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
FND-008,Documentation Template Standard,FND,01_FOUNDATION/FND-008_DOCUMENTATION_TEMPLATE_STANDARD.md,pending,MAP_TO_EXISTING,docs/13_DOCUMENT_TEMPLATE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
BUS-001,Business Domain Map,BUS,02_BUSINESS_ARCHITECTURE/BUS-001_BUSINESS_DOMAIN_MAP.md,pending,MERGE,docs/02_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
BUS-002,Business Capability Map,BUS,02_BUSINESS_ARCHITECTURE/BUS-002_BUSINESS_CAPABILITY_MAP.md,pending,ADOPT,docs/BUSINESS_CAPABILITY_MAP.md,FOUNDER_REVIEW_REQUIRED,No adequate current canonical owner was found; create only after exact Founder approval.
BUS-003,Business Entity Map,BUS,02_BUSINESS_ARCHITECTURE/BUS-003_BUSINESS_ENTITY_MAP.md,pending,MERGE,docs/30_ENTITY_RELATIONSHIP_MODEL.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
BUS-004,Business Workflow Map,BUS,02_BUSINESS_ARCHITECTURE/BUS-004_BUSINESS_WORKFLOW_MAP.md,pending,MERGE,docs/03_BUSINESS_RULES.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
BUS-005,Business Rule Catalog,BUS,02_BUSINESS_ARCHITECTURE/BUS-005_BUSINESS_RULE_CATALOG.md,pending,MAP_TO_EXISTING,docs/03_BUSINESS_RULES.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
BUS-006,Operating Model,BUS,02_BUSINESS_ARCHITECTURE/BUS-006_OPERATING_MODEL.md,pending,MERGE,docs/02_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
BUS-007,Commercial Model,BUS,02_BUSINESS_ARCHITECTURE/BUS-007_COMMERCIAL_MODEL.md,pending,MERGE,docs/03_BUSINESS_RULES.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
BUS-008,Partner Ecosystem Model,BUS,02_BUSINESS_ARCHITECTURE/BUS-008_PARTNER_ECOSYSTEM_MODEL.md,pending,MERGE,docs/02_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
BRD-001,Brand Architecture,BRD,03_BRAND_ARCHITECTURE/BRD-001_BRAND_ARCHITECTURE.md,pending,MAP_TO_EXISTING,repository/design/BRAND_LANGUAGE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
BRD-002,Damavand Steel Brand Model,BRD,03_BRAND_ARCHITECTURE/BRD-002_DAMAVAND_STEEL_BRAND_MODEL.md,pending,MAP_TO_EXISTING,repository/design/BRAND_LANGUAGE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
BRD-003,Central Steel Guardrails,BRD,03_BRAND_ARCHITECTURE/BRD-003_CENTRAL_STEEL_GUARDRAILS.md,pending,MERGE,docs/02_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
BRD-004,Brand Knowledge Model,BRD,03_BRAND_ARCHITECTURE/BRD-004_BRAND_KNOWLEDGE_MODEL.md,pending,MERGE,repository/design/BRAND_LANGUAGE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
BRD-005,Visual Identity System,BRD,03_BRAND_ARCHITECTURE/BRD-005_VISUAL_IDENTITY_SYSTEM.md,pending,MAP_TO_EXISTING,repository/design/DESIGN_MANIFEST.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
BRD-006,Brand Content Rules,BRD,03_BRAND_ARCHITECTURE/BRD-006_BRAND_CONTENT_RULES.md,pending,MAP_TO_EXISTING,docs/29_CONTENT_ARCHITECTURE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-001,Product Repository Domain Architecture,PRD,04_PRODUCT_REPOSITORY/PRD-001_PRODUCT_REPOSITORY_DOMAIN_ARCHITECTURE.md,pending,MAP_TO_EXISTING,docs/19_PRODUCT_DATA_MODEL.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-002,Product Hierarchy Model,PRD,04_PRODUCT_REPOSITORY/PRD-002_PRODUCT_HIERARCHY_MODEL.md,pending,MAP_TO_EXISTING,repository/data/contracts/product-core.contract.yaml,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-003,Product Family Model,PRD,04_PRODUCT_REPOSITORY/PRD-003_PRODUCT_FAMILY_MODEL.md,pending,MERGE,docs/19_PRODUCT_DATA_MODEL.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
PRD-004,Product Series Model,PRD,04_PRODUCT_REPOSITORY/PRD-004_PRODUCT_SERIES_MODEL.md,pending,MERGE,docs/19_PRODUCT_DATA_MODEL.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
PRD-005,Product Template Model,PRD,04_PRODUCT_REPOSITORY/PRD-005_PRODUCT_TEMPLATE_MODEL.md,pending,MAP_TO_EXISTING,repository/engine/product/PRODUCT_FAMILY_TEMPLATE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-006,Product Variant Model,PRD,04_PRODUCT_REPOSITORY/PRD-006_PRODUCT_VARIANT_MODEL.md,pending,MAP_TO_EXISTING,repository/engine/product/VARIATION_TEMPLATE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-007,SKU Model,PRD,04_PRODUCT_REPOSITORY/PRD-007_SKU_MODEL.md,pending,MAP_TO_EXISTING,repository/engine/product/ENGINE_RULES.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-008,Attribute System,PRD,04_PRODUCT_REPOSITORY/PRD-008_ATTRIBUTE_SYSTEM.md,pending,MAP_TO_EXISTING,repository/data/contracts/product-attribute.contract.yaml,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-009,Material and Alloy Model,PRD,04_PRODUCT_REPOSITORY/PRD-009_MATERIAL_AND_ALLOY_MODEL.md,pending,MERGE,docs/22_PRODUCT_ATTRIBUTE_MODEL.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
PRD-010,Finish and Color Model,PRD,04_PRODUCT_REPOSITORY/PRD-010_FINISH_AND_COLOR_MODEL.md,pending,MERGE,docs/22_PRODUCT_ATTRIBUTE_MODEL.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
PRD-011,Dimension and Unit Model,PRD,04_PRODUCT_REPOSITORY/PRD-011_DIMENSION_AND_UNIT_MODEL.md,pending,MAP_TO_EXISTING,repository/data/contracts/measurement.contract.yaml,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-012,Brand and Origin Model,PRD,04_PRODUCT_REPOSITORY/PRD-012_BRAND_AND_ORIGIN_MODEL.md,pending,MERGE,docs/22_PRODUCT_ATTRIBUTE_MODEL.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
PRD-013,Product Relationship Model,PRD,04_PRODUCT_REPOSITORY/PRD-013_PRODUCT_RELATIONSHIP_MODEL.md,pending,MAP_TO_EXISTING,docs/30_ENTITY_RELATIONSHIP_MODEL.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-014,Assembly Product Model,PRD,04_PRODUCT_REPOSITORY/PRD-014_ASSEMBLY_PRODUCT_MODEL.md,pending,MERGE,docs/19_PRODUCT_DATA_MODEL.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
PRD-015,Product Lifecycle,PRD,04_PRODUCT_REPOSITORY/PRD-015_PRODUCT_LIFECYCLE.md,pending,MAP_TO_EXISTING,repository/platform/PLATFORM_LIFECYCLE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-016,Product Validation Rules,PRD,04_PRODUCT_REPOSITORY/PRD-016_PRODUCT_VALIDATION_RULES.md,pending,MAP_TO_EXISTING,repository/data/validation/PRODUCT_DATA_VALIDATION_RULES.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-017,Product Search Intelligence,PRD,04_PRODUCT_REPOSITORY/PRD-017_PRODUCT_SEARCH_INTELLIGENCE.md,pending,MAP_TO_EXISTING,docs/27_SEARCH_AND_DISCOVERY.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRD-018,WordPress Product Mapping,PRD,04_PRODUCT_REPOSITORY/PRD-018_WORDPRESS_PRODUCT_MAPPING.md,pending,MAP_TO_EXISTING,docs/20_WOOCOMMERCE_PRODUCT_MODEL.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
KNO-001,Knowledge Repository Architecture,KNO,05_KNOWLEDGE_REPOSITORY/KNO-001_KNOWLEDGE_REPOSITORY_ARCHITECTURE.md,pending,MAP_TO_EXISTING,repository/platform/PLATFORM_ARCHITECTURE.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
KNO-002,Knowledge Card Model,KNO,05_KNOWLEDGE_REPOSITORY/KNO-002_KNOWLEDGE_CARD_MODEL.md,pending,MAP_TO_EXISTING,docs/32_CONTENT_TYPES.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
KNO-003,Material Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-003_MATERIAL_KNOWLEDGE.md,pending,MERGE,docs/29_CONTENT_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
KNO-004,Product Family Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-004_PRODUCT_FAMILY_KNOWLEDGE.md,pending,MERGE,docs/29_CONTENT_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
KNO-005,Installation Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-005_INSTALLATION_KNOWLEDGE.md,pending,MERGE,docs/29_CONTENT_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
KNO-006,Buying Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-006_BUYING_KNOWLEDGE.md,pending,MERGE,docs/29_CONTENT_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
KNO-007,Engineering Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-007_ENGINEERING_KNOWLEDGE.md,pending,MERGE,docs/29_CONTENT_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
KNO-008,Maintenance Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-008_MAINTENANCE_KNOWLEDGE.md,pending,MERGE,docs/29_CONTENT_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
KNO-009,FAQ Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-009_FAQ_KNOWLEDGE.md,pending,MAP_TO_EXISTING,docs/32_CONTENT_TYPES.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
KNO-010,Market Knowledge,KNO,05_KNOWLEDGE_REPOSITORY/KNO-010_MARKET_KNOWLEDGE.md,pending,MERGE,docs/29_CONTENT_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
KNO-011,Knowledge Provenance,KNO,05_KNOWLEDGE_REPOSITORY/KNO-011_KNOWLEDGE_PROVENANCE.md,pending,MAP_TO_EXISTING,docs/REPOSITORY_METADATA.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
KNO-012,Knowledge Retrieval Model,KNO,05_KNOWLEDGE_REPOSITORY/KNO-012_KNOWLEDGE_RETRIEVAL_MODEL.md,pending,MAP_TO_EXISTING,docs/27_SEARCH_AND_DISCOVERY.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRI-001,Pricing Engine Architecture,PRI,06_PRICING_ENGINE/PRI-001_PRICING_ENGINE_ARCHITECTURE.md,pending,DEFER,,FOUNDER_REVIEW_REQUIRED,"Retain as controlled intake; no canonical generation until scope, owner, dependencies, and Phase boundaries are approved."
PRI-002,Base Price Model,PRI,06_PRICING_ENGINE/PRI-002_BASE_PRICE_MODEL.md,pending,DEFER,,FOUNDER_REVIEW_REQUIRED,"Retain as controlled intake; no canonical generation until scope, owner, dependencies, and Phase boundaries are approved."
PRI-003,Product Price Formula,PRI,06_PRICING_ENGINE/PRI-003_PRODUCT_PRICE_FORMULA.md,pending,DEFER,,FOUNDER_REVIEW_REQUIRED,"Retain as controlled intake; no canonical generation until scope, owner, dependencies, and Phase boundaries are approved."
PRI-004,FX and Currency Model,PRI,06_PRICING_ENGINE/PRI-004_FX_AND_CURRENCY_MODEL.md,pending,DEFER,,FOUNDER_REVIEW_REQUIRED,"Retain as controlled intake; no canonical generation until scope, owner, dependencies, and Phase boundaries are approved."
PRI-005,Rounding Rules,PRI,06_PRICING_ENGINE/PRI-005_ROUNDING_RULES.md,pending,DEFER,,FOUNDER_REVIEW_REQUIRED,"Retain as controlled intake; no canonical generation until scope, owner, dependencies, and Phase boundaries are approved."
PRI-006,Margin and Commission Model,PRI,06_PRICING_ENGINE/PRI-006_MARGIN_AND_COMMISSION_MODEL.md,pending,DEFER,,FOUNDER_REVIEW_REQUIRED,"Retain as controlled intake; no canonical generation until scope, owner, dependencies, and Phase boundaries are approved."
PRI-007,Price Visibility Rules,PRI,06_PRICING_ENGINE/PRI-007_PRICE_VISIBILITY_RULES.md,pending,MAP_TO_EXISTING,docs/03_BUSINESS_RULES.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
PRI-008,Pricing Governance,PRI,06_PRICING_ENGINE/PRI-008_PRICING_GOVERNANCE.md,pending,MAP_TO_EXISTING,docs/03_BUSINESS_RULES.md,NO_NEW_DOCUMENT_RECOMMENDED,An existing repository owner covers this purpose; do not generate a duplicate Atlas document.
CFG-001,Configurator Architecture,CFG,07_PRODUCT_CONFIGURATOR/CFG-001_CONFIGURATOR_ARCHITECTURE.md,pending,MERGE,repository/platform/PLATFORM_ARCHITECTURE.md,FOUNDER_REVIEW_REQUIRED,Merge only unique reviewed content into the named owner; do not generate a parallel canonical document.
CFG-002,Scenario Input Model,CFG,07_PRODUCT_CONFIGURATOR/CFG-002_SCENARIO_INPUT_MODEL.md,pending,DEFER,,FOUNDER_REVIEW_REQUIRED,"Retain as controlled intake; no canonical generation until scope, owner, dependencies, and Phase boundaries are approved."
